feature,delta_mcc,delta_f1,delta_acc,mcc,f1,acc
acc_x,0.025732185515747297,0.01307652912370516,0.004966887417218513,0.9534951211461429,0.9765328774598712,0.9908940397350994
acc_y,0.6324938504799775,0.3978129885024243,0.0927152317880795,0.34673345618191265,0.591796418081152,0.9031456953642384
acc_z,0.031267981887966645,0.015948544791931196,0.0066225165562914245,0.9479593247739235,0.9736608617916451,0.9892384105960265
gyr_x,0.004245428231735904,0.0021184673684991884,0.0008278145695364003,0.9749818784301543,0.9874909392150771,0.9950331125827815
gyr_y,0.0,0.0,0.0,0.9792273066618902,0.9896094065835763,0.9958609271523179
gyr_z,0.0,0.0,0.0,0.9792273066618902,0.9896094065835763,0.9958609271523179
