feature,delta_mcc,delta_f1,delta_acc,mcc,f1,acc
acc_x,0.2342626130931108,0.128574524250345,0.04139072847682124,0.7294344603572701,0.8530762015687648,0.9511589403973509
acc_y,0.8637913862408486,0.4896597642323662,0.10347682119205293,0.0999056872095323,0.49199096158674366,0.8890728476821192
acc_z,0.2657273200965222,0.14757953196430806,0.04635761589403975,0.6979697533538587,0.8340711938548018,0.9461920529801324
gyr_x,0.028233019721822572,0.014169519016544396,0.005794701986754913,0.9354640537285583,0.9674812068025654,0.9867549668874173
gyr_y,0.035202940005546135,0.017441259871181836,0.0066225165562914245,0.9284941334448348,0.964209465947928,0.9859271523178808
gyr_z,0.023846390722617405,0.012042039136442417,0.004966887417218513,0.9398506827277635,0.9696086866826674,0.9875827814569537
