feature,delta_mcc,delta_f1,delta_acc,mcc,f1,acc
acc_x,0.05507360724268584,0.02830248187390405,0.010761589403973537,0.9449263927573142,0.971697518126096,0.9892384105960265
acc_y,0.7314153789440264,0.4462557795891129,0.10264900662251653,0.2685846210559736,0.5537442204108871,0.8973509933774835
acc_z,0.05697917993273782,0.02863334687796293,0.011589403973509937,0.9430208200672622,0.9713666531220371,0.9884105960264901
gyr_x,0.0,0.0,0.0,1.0,1.0,1.0
gyr_y,0.0,0.0,0.0,1.0,1.0,1.0
gyr_z,0.00417451783783318,0.0020916191521670457,0.0008278145695364003,0.9958254821621668,0.997908380847833,0.9991721854304636
