Fraction,MCC
1.000000000000000056e-01,9.586043053470604258e-01
2.000000000000000111e-01,9.354640537285583424e-01
4.000000000000000222e-01,9.833212522867694760e-01
5.999999999999999778e-01,9.958523711217446284e-01
8.000000000000000444e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.916412065435123990e-01
