Fraction,MCC,F1,Accuracy,Train_Loss,Val_Loss
0.05,0.7556845710422718,0.8712580522925351,0.9552980132450332,0.11603862553529325,0.10827318802384023
0.1,0.9317420406816035,0.9655565115736897,0.9859271523178808,0.08488976915012696,0.06257416285006911
0.15,0.9412551700429317,0.9699820588132974,0.9875827814569537,0.07637667712928226,0.05985325530928094
0.2,0.9322667862085713,0.9659794975780106,0.9867549668874173,0.06440834358876482,0.0865609194459945
0.3,0.905786973216982,0.9522670287590433,0.9817880794701986,0.05669206602305259,0.5388330711112326
0.4,0.9517303007061549,0.9756109051019242,0.9900662251655629,0.05109199087703594,0.039522197230756936
0.5,0.9675695867192542,0.9836380874983068,0.9933774834437086,0.05785334878767939,0.04050095739635014
0.6,0.9663427962997504,0.9831019408987585,0.9933774834437086,0.06745702775409643,0.040688426473475134
0.7,0.9546479301377373,0.9772869842865177,0.9908940397350994,0.059585682155919875,0.03876677715092419
0.8,0.9792273066618902,0.9896094065835763,0.9958609271523179,0.05779849758003906,0.036053279351117934
0.9,0.971167500674579,0.985546262727784,0.9942052980132451,0.05048005852216618,0.04845796144581982
1.0,0.9754339779517015,0.9876505346664213,0.9950331125827815,0.04677760673112534,0.027709066734912895
