,Model,MCC,Sensitivity,Specificity,Precision,Accuracy,tp,tn,fp,fn
mean,10.5,0.9935230415475601,0.9995340167753032,0.9922222222214876,0.9990289605365451,0.9987168874171359,1072.5,133.95,1.05,0.5
std,5.916079783099616,0.012037741326388898,0.0010253860283693118,0.021016682902371252,0.002617466667067432,0.0023640249485515318,1.1002392084403616,2.837252191822221,2.837252191822221,1.1002392084403616
