Model,MCC,Sensitivity,Specificity,Precision,Accuracy,tp,tn,fp,fn
1.0,0.97909241150726,0.9981360671014912,0.9777777777770535,0.9972067039105216,0.9958609271522354,1071,132,3,2
2.0,0.9749818784301544,0.9972041006522836,0.9777777777770535,0.9972041006522836,0.995033112582699,1070,132,3,3
3.0,0.9875398388918174,0.9981360671014912,0.9925925925918574,0.9990671641790112,0.997516556291308,1071,134,1,2
4.0,0.9754339779517016,0.995340167753868,0.9925925925918574,0.9990645463048644,0.995033112582699,1068,134,1,5
5.0,0.9834623191469628,0.9972041006522836,0.9925925925918574,0.9990662931838468,0.9966887417217718,1070,134,1,3
6.0,0.9751763145469954,0.9962721342030758,0.9851851851844556,0.9981325863677872,0.995033112582699,1069,133,2,4
7.0,0.9629077154061582,0.9944082013046605,0.9777777777770535,0.9971962616821496,0.99254966887409,1067,132,3,6
8.0,0.9751763145469954,0.9962721342030758,0.9851851851844556,0.9981325863677872,0.995033112582699,1069,133,2,4
9.0,0.9675695867192542,0.9934762348554526,0.9925925925918574,0.9990627928771322,0.9933774834436264,1066,134,1,7
10.0,0.9718549553632346,0.9934762348554526,0.9999999999992594,0.9999999999999062,0.9942052980131628,1066,135,0,7
11.0,0.9560679668200835,0.9906803355078292,0.9925925925918574,0.999060150375846,0.9908940397350172,1063,134,1,10
12.0,0.9714816528511762,0.9944082013046605,0.9925925925918574,0.9990636704118916,0.9942052980131628,1067,134,1,6
13.0,0.9718549553632346,0.9934762348554526,0.9999999999992594,0.9999999999999062,0.9942052980131628,1066,135,0,7
14.0,0.9479593247739236,0.9897483690586216,0.9851851851844556,0.9981203007517858,0.9892384105959444,1062,133,2,11
15.0,0.9496710933234436,0.995340167753868,0.948148148147446,0.9934883720929308,0.9900662251654808,1068,128,7,5
16.0,0.9707258761798068,0.9972041006522836,0.9703703703696516,0.99627560521406,0.9942052980131628,1070,131,4,3
17.0,0.9796899022751488,0.995340167753868,0.9999999999992594,0.9999999999999064,0.9958609271522354,1068,135,0,5
18.0,0.9748035666817636,0.9999999999999069,0.9555555555548478,0.9944392956440228,0.995033112582699,1073,129,6,0
19.0,0.9754339779517016,0.995340167753868,0.9925925925918574,0.9990645463048644,0.995033112582699,1068,134,1,5
20.0,0.9875398388918174,0.9981360671014912,0.9925925925918574,0.9990671641790112,0.997516556291308,1071,134,1,2
