model_type,position,scenario,label_type,boxplot_path,MCC_mean,MCC_std,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,F1_mean,F1_std
LSTM,chest,Sc_4_T,binary_two,analise_global/boxplots/all/boxplot_LSTM_chest_Sc_4_T_binary_two.png,0.906033445399302,0.02491484344190896,0.9795943708608462,0.005916504813785553,0.9970221686926797,0.0026414585613695626,0.9799627213419404,0.006502709365557264,0.9766666666659434,0.020851140321410024,0.9884057102443254,0.0033961873925334564
MLP,chest,Sc_4_T,binary_two,analise_global/boxplots/all/boxplot_MLP_chest_Sc_4_T_binary_two.png,0.9642985072109725,0.007285026931310114,0.9928394039734278,0.0014777920945762124,0.9968777399233246,0.001858320445930879,0.9950605778191056,0.0019850758710555833,0.9751851851844627,0.014868324417004024,0.9959654609636746,0.0008335231132129597
CNN1D,chest,Sc_4_T,binary_two,analise_global/boxplots/all/boxplot_CNN1D_chest_Sc_4_T_binary_two.png,0.9719211733811317,0.01080638379947974,0.9943294701985932,0.0022192289924517685,0.9981356070249756,0.001757144425582728,0.9954799627212492,0.0025347720083002943,0.9851851851844557,0.014013411895203203,0.9968029686399899,0.0012536314817999511
