feature,mean_abs_shap
acc_x,5.587585996200822e-09
acc_y,6.790998293114414e-09
acc_z,2.233702785237046e-08
gyr_x,2.230843822781381e-08
gyr_y,4.824850264290026e-08
gyr_z,4.396329126870983e-08
