,Model,MCC,Sensitivity,Specificity,Precision,Accuracy,tp,tn,fp,fn
mean,10.5,0.9893163714356706,0.9980428704565705,0.9962962962955586,0.9995344500050021,0.9978476821191228,1070.9,134.5,0.5,2.1
std,5.916079783099616,0.006911885661533096,0.0017605093036128137,0.006127186606428886,0.0007697371018092853,0.0014058744701806341,1.8890264827766652,0.8271701918685112,0.8271701918685112,1.8890264827766652
