Model,MCC,Sensitivity,Specificity,Precision,Accuracy,tp,tn,fp,fn
1.0,0.9666425045735392,0.9962721342030758,0.9703703703696516,0.9962721342030758,0.9933774834436264,1069,131,4,4
2.0,0.9629077154061582,0.9944082013046605,0.9777777777770535,0.9971962616821496,0.99254966887409,1067,132,3,6
3.0,0.966890309947028,0.995340167753868,0.9777777777770535,0.9971988795517276,0.9933774834436264,1068,132,3,5
4.0,0.9589662405892292,0.9934762348554526,0.9777777777770535,0.9971936389147804,0.9917218543045536,1066,132,3,7
5.0,0.9672001092704654,0.9944082013046605,0.9851851851844556,0.9981290926098224,0.9933774834436264,1067,133,2,6
6.0,0.962181501313925,0.9972041006522836,0.9555555555548478,0.9944237918214688,0.99254966887409,1070,129,6,3
7.0,0.9749818784301544,0.9972041006522836,0.9777777777770535,0.9972041006522836,0.995033112582699,1070,132,3,3
8.0,0.9675695867192542,0.9934762348554526,0.9925925925918574,0.9990627928771322,0.9933774834436264,1066,134,1,7
9.0,0.966890309947028,0.995340167753868,0.9777777777770535,0.9971988795517276,0.9933774834436264,1068,132,3,5
10.0,0.9792273066618902,0.9972041006522836,0.9851851851844556,0.9981343283581158,0.9958609271522354,1070,133,2,3
11.0,0.9598634241949532,0.9916123019570372,0.9925925925918574,0.999061032863756,0.9917218543045536,1064,134,1,9
12.0,0.962181501313925,0.9972041006522836,0.9555555555548478,0.9944237918214688,0.99254966887409,1070,129,6,3
13.0,0.9666425045735392,0.9962721342030758,0.9703703703696516,0.9962721342030758,0.9933774834436264,1069,131,4,4
14.0,0.9675695867192542,0.9934762348554526,0.9925925925918574,0.9990627928771322,0.9933774834436264,1066,134,1,7
15.0,0.9546479301377372,0.9934762348554526,0.9703703703696516,0.9962616822428976,0.9908940397350172,1066,131,4,7
16.0,0.9473813096246732,0.9906803355078292,0.9777777777770535,0.9971857410880866,0.9892384105959444,1063,132,3,10
17.0,0.9714816528511762,0.9944082013046605,0.9925925925918574,0.9990636704118916,0.9942052980131628,1067,134,1,6
18.0,0.966890309947028,0.995340167753868,0.9777777777770535,0.9971988795517276,0.9933774834436264,1068,132,3,5
19.0,0.9534951211461428,0.9981360671014912,0.933333333332642,0.9916666666665748,0.9908940397350172,1071,126,9,2
20.0,0.9623593408523534,0.9962721342030758,0.9629629629622496,0.9953445065175982,0.99254966887409,1069,130,5,4
