Fraction,MCC
1.000000000000000056e-01,9.507323719079932012e-01
2.000000000000000111e-01,9.586043053470604258e-01
4.000000000000000222e-01,9.577888544924866299e-01
5.999999999999999778e-01,9.620316895851958039e-01
8.000000000000000444e-01,9.875398388918174009e-01
1.000000000000000000e+00,9.874589468347134691e-01
