Fraction,MCC,F1,Accuracy,Train_Loss,Val_Loss
0.05,0.868129436755613,0.9338653819323642,0.9743377483443708,0.450933780739504,0.5684412314004575
0.1,0.9196788453678058,0.9597343929545714,0.984271523178808,0.324790920566729,0.30851843473287155
0.15,0.950318300747093,0.9751426690079017,0.9900662251655629,0.2774201295425667,0.2745913531737823
0.2,0.945114351691454,0.9724498478110225,0.9892384105960265,0.24366099134273397,0.1632745345043205
0.3,0.9623593408523534,0.9811754276304967,0.9925496688741722,0.1719410947287962,0.23411206236993856
0.4,0.9792273066618902,0.9896094065835763,0.9958609271523179,0.14933128630352713,0.06220051931869702
0.5,0.9675695867192542,0.9836380874983068,0.9933774834437086,0.16443941429617204,0.20520339214026642
0.6,0.9790924115072601,0.9895419042391649,0.9958609271523179,0.16204490105102007,0.21673273791468656
0.7,0.9875398388918174,0.9937656439501459,0.9975165562913907,0.15404188218278192,0.13273662130529598
0.8,0.9916412065435124,0.995803107368187,0.9983443708609272,0.149631245081715,0.03736126450594472
0.9,0.9875398388918174,0.9937656439501459,0.9975165562913907,0.15724609229386338,0.05136591084537687
1.0,0.9875398388918174,0.9937656439501459,0.9975165562913907,0.13337941144646498,0.03527435513297083
