feature,delta_mcc,delta_f1,delta_acc,mcc,f1,acc
acc_x,0.05521267034564592,0.02849287158857372,0.010761589403973537,0.9406128118165209,0.9694155092592592,0.9884105960264901
acc_y,0.6511498930451416,0.3964162601586153,0.09602649006622521,0.3446755891170253,0.6014921206892176,0.9031456953642384
acc_z,0.06036142843360848,0.030427174045267513,0.012417218543046338,0.9354640537285583,0.9674812068025654,0.9867549668874173
gyr_x,0.008378454946424085,0.0042243574452575094,0.0016556291390729116,0.9874470272157427,0.9936840234025754,0.9975165562913907
gyr_y,0.0041842756186544205,0.0021052734796459527,0.0008278145695364003,0.9916412065435124,0.995803107368187,0.9983443708609272
gyr_z,0.008378454946424085,0.0042243574452575094,0.0016556291390729116,0.9874470272157427,0.9936840234025754,0.9975165562913907
