,Model,MCC,Sensitivity,Specificity,Precision,Accuracy,tp,tn,fp,fn
mean,mean,0.8061682796087583,0.9643188137163143,0.9116279069760376,0.9892447049243749,0.958692052980053,1040.5,117.6,11.4,38.5
std,std,0.05671639117086379,0.006069886344500585,0.07879007499919247,0.00951293726277538,0.010408586882862447,6.5494073657167835,10.16391967490371,10.16391967490371,6.5494073657167835
