number,value,datetime_start,datetime_complete,duration,params_decision_threshold,params_dropout,params_hidden_dim,params_learning_rate,params_num_layers,state
0,0.8139453269309247,2025-07-11 19:25:21.248668,2025-07-11 19:49:40.523383,0 days 00:24:19.274715,0.8,0.1,119,0.0010660303034270284,2,COMPLETE
1,0.5992141159120888,2025-07-11 19:49:41.727936,2025-07-11 20:57:55.067688,0 days 01:08:13.339752,0.7,0.5,228,0.006365727257124177,3,COMPLETE
2,0.798869898137633,2025-07-11 20:57:55.207022,2025-07-11 22:17:37.856481,0 days 01:19:42.649459,0.9,0.2,146,0.0016732891583223755,2,COMPLETE
3,0.805209026323835,2025-07-11 22:17:37.924636,2025-07-11 22:24:38.507181,0 days 00:07:00.582545,0.7,0.2,88,0.00013935596802635707,1,COMPLETE
4,0.7991142913191964,2025-07-11 22:24:38.655243,2025-07-11 22:29:46.496579,0 days 00:05:07.841336,0.8,0.2,89,0.0006470379825605028,1,COMPLETE
5,0.7213746291596108,2025-07-11 22:29:46.570596,2025-07-11 22:55:03.923645,0 days 00:25:17.353049,0.7,0.4,218,0.00011914786156903212,2,COMPLETE
6,0.8468974898207646,2025-07-11 22:55:04.027201,2025-07-11 23:04:04.406503,0 days 00:09:00.379302,0.5,0.1,78,0.0009447954955836869,2,COMPLETE
7,0.1261068512685597,2025-07-11 23:04:05.634922,2025-07-11 23:11:09.552610,0 days 00:07:03.917688,0.6,0.5,146,0.004680905602437481,2,PRUNED
8,0.8101936522383886,2025-07-11 23:11:09.624668,2025-07-11 23:17:55.775420,0 days 00:06:46.150752,0.7,0.2,87,0.000330543839162454,1,COMPLETE
9,0.8096830330502272,2025-07-11 23:17:55.865181,2025-07-12 00:21:22.624400,0 days 01:03:26.759219,0.9,0.1,211,0.0007097440344054579,3,COMPLETE
10,0.833133825175949,2025-07-12 00:21:22.727768,2025-07-12 00:29:01.395556,0 days 00:07:38.667788,0.5,0.30000000000000004,64,0.002282536666569699,3,COMPLETE
11,0.7881311126511295,2025-07-12 00:29:01.516817,2025-07-12 00:38:09.508691,0 days 00:09:07.991874,0.5,0.30000000000000004,65,0.0032645302651463804,3,COMPLETE
12,0.778580085779031,2025-07-12 00:38:10.105757,2025-07-12 00:43:57.940496,0 days 00:05:47.834739,0.5,0.30000000000000004,64,0.0022289965237325534,3,COMPLETE
13,0.8700001468693443,2025-07-12 00:43:58.113762,2025-07-12 00:53:35.918664,0 days 00:09:37.804902,0.5,0.4,71,0.009249071748933982,2,COMPLETE
