Fraction,MCC,F1,Accuracy,Train_Loss,Val_Loss
0.05,0.7653882429310696,0.8806476287608362,0.9486754966887417,0.21213540361030025,0.18907376643221238
0.1,0.7471630367010538,0.8732840849490182,0.9511589403973509,0.16156532758552777,0.15739048485104973
0.15,0.7878196269333437,0.8899211229058649,0.9511589403973509,0.14406566732033188,0.13875003283059123
0.2,0.8491744679831741,0.9233581095260639,0.9677152317880795,0.11720545793466859,0.10396855365681021
0.3,0.8311439986415509,0.9118186548213496,0.9610927152317881,0.1131053225911353,0.11225989359479986
0.4,0.8642606378880573,0.929388309006719,0.9693708609271523,0.11507446456648482,0.09718710503197812
0.5,0.8255402749721071,0.9115670494531505,0.9627483443708609,0.10944941930604583,0.09561709164102611
0.6,0.8719166769920175,0.9322667464114832,0.9701986754966887,0.11869202522059807,0.1107457142592849
0.7,0.9110793540284496,0.9535286310565696,0.9801324503311258,0.11018576107629707,0.0870481843006258
0.8,0.8438026353705763,0.9214714927450474,0.9677152317880795,0.1076469171031329,0.09309535115025938
0.9,0.8217829707163777,0.9075470254076994,0.9594370860927153,0.12503777803729893,0.1294960775804755
1.0,0.8208239498377076,0.9093306182121972,0.9619205298013245,0.10414358456529771,0.09254941690443573
