feature,delta_mcc,delta_f1,delta_acc,mcc,f1,acc
acc_x,0.3140873113356346,0.17309878546651913,0.040562913907284726,0.3921571253114091,0.6800099724200258,0.9014900662251656
acc_y,0.7062444366470437,0.3827010419724722,0.053807947019867575,0.0,0.47040771591407277,0.8882450331125827
acc_z,0.3787975738564013,0.2297925448254866,0.04221854304635764,0.32744686279064245,0.6233162130610583,0.8998344370860927
gyr_x,-0.001877478371423047,-0.0009521996226883322,0.0,0.7081219150184668,0.8540609575092333,0.9420529801324503
gyr_y,0.003247690945744175,0.0016137176904037487,0.0008278145695364003,0.7029967457012996,0.8514950401961412,0.9412251655629139
gyr_z,0.023963650299955286,0.012051943592184311,0.004139072847682113,0.6822807863470884,0.8410568142943606,0.9379139072847682
